,barcode,category,categoryCode,name,topBrand,brandCode
0,511111019862,Baking,BAKING,test brand @1612366101024,0.0,
1,511111519928,Beverages,BEVERAGES,Starbucks,0.0,STARBUCKS
2,511111819905,Baking,BAKING,test brand @1612366146176,0.0,TEST BRANDCODE @1612366146176
3,511111519874,Baking,BAKING,test brand @1612366146051,0.0,TEST BRANDCODE @1612366146051
4,511111319917,Candy & Sweets,CANDY_AND_SWEETS,test brand @1612366146827,0.0,TEST BRANDCODE @1612366146827
5,511111719885,Baking,BAKING,test brand @1612366146091,0.0,TEST BRANDCODE @1612366146091
6,511111219897,Baking,BAKING,test brand @1612366146133,0.0,TEST BRANDCODE @1612366146133
7,511111104810,Condiments & Sauces,,J.L. Kraft,,J.L. KRAFT
8,511111504412,Canned Goods & Soups,,Campbell's Home Style,0.0,CAMPBELLS HOME STYLE
9,511111504788,Baking,,test,,TEST
10,511111516354,Baking,BAKING,test brand @1598813526777,,TEST BRANDCODE @1598813526777
11,511111102540,,,MorningStar,,
12,511111201076,Baking,,Calumet,0.0,CALUMET
13,511111205012,Magazines,,Entertainment Weekly,,511111205012
14,511111801801,Breakfast & Cereal,,AUNT JEMIMA Syrup,0.0,AUNT JEMIMA SYRUP
15,511111202233,Beer Wine Spirits,,Molson Canadian,0.0,MOLSON
16,511111817376,Health & Wellness,HEALTHY_AND_WELLNESS,Lotrimin®,0.0,LOTRIMIN
17,511111515319,Baking,BAKING,test brand @1597342520277,,TEST BRANDCODE @1597342520277
18,511111317364,Baking,BAKING,test brand @1605535049181,0.0,
19,511111300700,Beauty,,ST. IVES,0.0,ST IVES
20,511111305125,Baby,,Chris Image Test,,CHRISIMAGE
21,511111005650,Health & Wellness,HEALTHY_AND_WELLNESS,Alka-Seltzer®,,ALKA SELTZER
22,511111802129,Condiments & Sauces,,Jack Daniel's,0.0,JACK DANIEL'S BARBECUE
23,511111303947,,,Bottled Starbucks,,
24,511111802914,,,Full Throttle,,
25,511111914549,Baking,BAKING,PopUp Brand A,,
26,511111400769,Frozen,,MAGNUM Ice Cream,0.0,MAGNUM Ice Cream
27,511111105329,Magazines,,Elegant Homes Magazine,,511111105329
28,511111316114,Baking,BAKING,test brand @1598635634882,,TEST BRANDCODE @1598635634882
29,511111315957,Baking,BAKING,test brand @1598633693011,,
30,511111201915,Grocery,,Taco Bell,0.0,TACO BELL
31,511111518112,Baking,BAKING,test brand @1607639214411,0.0,
32,511111506249,Breakfast & Cereal,,Frosted Cheerios™,,FROSTED CHEERIOS
33,511111916161,Baking,BAKING,test brand @1598639199674,,TEST BRANDCODE @1598639199674
34,511111103653,,,Gold Medal,,
35,511111100621,Baking,,GODIVA Instant Pudding Mix,0.0,GODIVA DRY PACKAGED DESSERTS
36,511111305910,Snacks,,LÄRABAR™,,LARABAR
37,511111115366,Baking,BAKING,test brand @1597350074333,,TEST BRANDCODE @1597350074333
38,511111718079,Baking,BAKING,test brand @1607636368717,0.0,TEST BRANDCODE @1607636368717
39,511111818182,Baking,BAKING,test brand @1607707830095,0.0,TEST BRANDCODE @1607707830095
40,511111504627,Household,,Cottonelle,0.0,COTTONELLE
41,511111301691,Beverages,,Izze,0.0,IZZE
42,511111101178,Beverages,,Mio,0.0,MIO
43,511111503699,,,Glaceau vitaminwater,,
44,511111505365,Magazines,,Magnolia Journal Magazine,,511111505365
45,511111405252,Magazines,,American Patchwork & Quilting Magazine,,QUILTING SPECIAL EDITION
46,511111104025,,,Gree Giant,,
47,511111317203,Baking,BAKING,test brand @1604437351617,0.0,TEST BRANDCODE @1604437351617
48,511111900337,Beer Wine Spirits,,Herman Joseph's,,HERMAN
49,511111302629,,,Sundrop,,
50,511111704935,Beverages,,Kevita Sparkling Drinks,,KEVITA
51,511111902188,Frozen,,Delimex,0.0,DELIMEX
52,511111004844,Personal Care,,THE RIGHT TO SHOWER,,THE RIGHT TO SHOWER
53,511111100904,Personal Care,,CARESS,0.0,CARESS
54,511111115083,Baking,BAKING,test brand @1595340086044,,TEST BRANDCODE @1595340086044
55,511111603870,,,Blue Bunny,,
56,511111103141,,,Krave,,
57,511111315513,Baking,BAKING,test brand @1597861700968,,TEST BRANDCODE @1597861700968
58,511111106876,Grocery,,DASH-2249 Brand1,1.0,TEST BRAND CODE
59,511111115649,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598026275245,,TEST BRANDCODE @1598026275245
60,511111204206,Canned Goods & Soups,,Swanson,0.0,SWANSON
61,511111102618,,,A&W Rootbeer,,
62,511111415626,Baking,BAKING,test brand @1598026274668,,TEST BRANDCODE @1598026274668
63,511111306887,Frozen,,DASH-2249 Brand2,0.0,DASH-2249 1
64,511111805854,Health & Wellness,,ONE A DAY® WOMENS,0.0,511111805854
65,511111104537,Snacks,,Kettle Brand,0.0,KETTLE BRAND
66,511111404392,Canned Goods & Soups,,Campbell's Soup at Hand,0.0,CAMPBELLS SOUP AT HAND 
67,511111615583,Baking,BAKING,test brand @1597936021514,,
68,511111117841,Grocery,GROCERY,Rainbo,0.0,RAINBO
69,511111602279,Beer Wine Spirits,,Crispin Cider Company,0.0,CRISPIN
70,511111318194,Baking,BAKING,test brand @1607707830137,0.0,TEST BRANDCODE @1607707830137
71,511111114413,Health & Wellness,HEALTHY_AND_WELLNESS,Claritin®,0.0,CLARITIN®
72,511111706045,Breakfast & Cereal,,Cookie Crisp™,,COOKIE CRISP
73,511111717317,Baking,BAKING,test brand @1605535020441,0.0,TEST BRANDCODE @1605535020442
74,511111903789,Snacks,,Keebler,,
75,511111417262,Baking,BAKING,test brand @1604946244750,0.0,TEST BRANDCODE @1604946244750
76,511111004561,Snacks,,SNYDERS OF HANOVER,0.0,SNYDERS OF HANOVER
77,511111702894,,,Powerade,,
78,511111002154,Condiments & Sauces,,Good Seasons,0.0,GOOD SEASONS
