,index,barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,quanityPurchased
0,0,4011,ITEM NOT FOUND,26.00,26.00,False,1,
1,1,4011,ITEM NOT FOUND,1,1,,1,
2,1,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,True,2,
3,2,,,,,False,1,
4,3,4011,ITEM NOT FOUND,28.00,28.00,False,1,
5,4,1234,,2.56,2.56,True,2,
6,5,4011,ITEM NOT FOUND,3.25,3.25,False,1,
7,6,,MSSN TORTLLA,2.23,2.23,,1009,
8,7,046000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,10.00,,0,
9,8,4011,ITEM NOT FOUND,20.00,20.00,False,1,
10,11,013562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,50.00,True,1,
11,12,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,1,
12,12,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,2,
13,12,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,3,
14,12,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,4,
15,12,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,5,
16,12,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,6,
17,12,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,7,
18,12,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,8,
19,12,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,9,
20,12,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,,10,
21,13,075925306254,,1,1,,1,
22,13,,,,,True,2,
23,13,,,,,True,3,
24,13,,,,,True,4,
25,13,,,,,True,5,
26,13,,,,,True,6,
27,13,,,,,True,7,
28,13,,,,,True,8,
29,13,,,,,True,9,
30,13,,,,,True,10,
31,13,,,,,True,11,
32,15,,,,,True,1,
33,16,4011,ITEM NOT FOUND,1,1,False,1,
34,16,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,False,2,
35,19,1234,,,,True,2,
