,_id,state,createdDate,lastLogin,role,active,signUpSource
0,,WI,2021-01-03 15:24:04.800,2021-01-03 15:25:37.858000,consumer,True,Email
3,,WI,2021-01-03 15:25:30.554,2021-01-03 15:25:30.597000,consumer,True,Email
6,,WI,2021-01-03 15:25:28.354,2021-01-03 15:25:28.392000,consumer,True,Email
7,,WI,2021-01-03 15:24:39.626,2021-01-03 15:24:39.665000,consumer,True,Email
9,,WI,2021-01-03 15:25:37.564,2021-01-03 15:25:37.599000,consumer,True,Email
16,,WI,2021-01-03 15:25:24.656,2021-01-03 15:25:24.694000,consumer,True,Email
17,,WI,2021-01-03 15:24:36.410,2021-01-03 15:24:36.452000,consumer,True,Email
20,,WI,2021-01-04 19:47:17.776,2021-01-04 19:50:50.563000,consumer,True,Email
21,,WI,2021-01-04 19:31:15.973,2021-01-04 19:34:42.944000,consumer,True,Email
22,,WI,2021-01-04 19:33:23.244,2021-01-04 19:33:23.425000,consumer,True,Email
23,,WI,2021-01-04 19:29:12.943,2021-01-04 19:29:13.141000,consumer,True,Email
25,,WI,2021-01-04 19:26:31.239,2021-01-04 19:29:52.726000,consumer,True,Email
28,,WI,2021-01-04 19:19:20.352,2021-01-04 19:23:05.340000,consumer,True,Email
30,,WI,2021-01-04 19:29:18.994,2021-01-04 19:29:19.173000,consumer,True,Email
38,,WI,2021-01-04 19:48:46.807,2021-01-04 19:48:46.997000,consumer,True,Email
40,,WI,2021-01-05 20:38:11.229,2021-01-05 20:39:55.131000,consumer,True,Email
41,,WI,2021-01-05 14:12:55.669,2021-01-05 14:12:55.877000,consumer,True,Email
42,,WI,2021-01-05 14:11:30.233,2021-01-05 14:15:33.550000,consumer,True,Email
45,,WI,2021-01-05 20:39:45.282,2021-01-05 20:39:45.329000,consumer,True,Email
47,,WI,2021-01-05 20:38:21.887,2021-01-05 20:38:21.938000,consumer,True,Email
55,,WI,2021-01-05 20:38:12.503,2021-01-05 20:38:12.565000,consumer,True,Email
58,,WI,2021-01-05 20:38:18.446,2021-01-05 20:38:18.495000,consumer,True,Email
60,,WI,2021-01-06 15:03:54.680,2021-01-06 15:08:10.009000,consumer,True,Email
66,,WI,2021-01-06 15:05:07.667,2021-01-06 15:05:07.878000,consumer,True,Email
76,,WI,2021-01-06 15:05:52.484,2021-01-06 15:05:52.717000,consumer,True,Email
80,,WI,2021-01-07 15:18:38.596,2021-01-07 15:20:26.821000,consumer,True,Email
81,,WI,2021-01-07 17:08:44.072,2021-01-07 17:08:44.352000,consumer,True,Email
82,,WI,2021-01-07 16:50:50.206,2021-01-07 16:50:50.255000,consumer,True,Email
83,,WI,2021-01-07 18:13:17.921,2021-01-07 18:17:03.217000,consumer,True,Email
85,,WI,2021-01-07 16:49:20.959,2021-01-07 16:51:07.267000,consumer,True,Email
86,,WI,2021-01-07 23:02:39.759,2021-01-07 23:09:54.656000,consumer,True,Email
87,,WI,2021-01-07 15:19:42.584,2021-01-07 15:19:42.630000,consumer,True,Email
91,,WI,2021-01-07 15:20:00.299,2021-01-07 15:20:00.353000,consumer,True,Email
92,,WI,2021-01-07 23:06:05.503,2021-01-07 23:06:05.681000,consumer,True,Email
93,,WI,2021-01-07 23:09:18.699,2021-01-07 23:09:18.840000,consumer,True,Email
94,,WI,2021-01-07 15:19:40.196,2021-01-07 15:19:40.243000,consumer,True,Email
97,,KY,2021-01-06 19:59:34.996,null,consumer,True,Email
99,,WI,2021-01-07 23:08:20.153,2021-01-07 23:08:20.301000,consumer,True,Email
100,,WI,2021-01-08 20:36:17.626,2021-01-08 20:36:17.831000,consumer,True,Email
101,,WI,2021-01-08 21:28:37.743,2021-01-08 21:29:59.411000,consumer,True,Email
103,,WI,2021-01-08 15:01:37.348,2021-01-08 15:03:21.259000,consumer,True,Email
104,,WI,2021-01-08 15:02:07.604,2021-01-08 15:02:07.655000,consumer,True,Email
